"","X","ST_CASE","VEH_NO","PER_NO","DRUGSPECNAME","DRUGRESNAME","RACENAME","MAKENAME","SEAT_POSNAME","BODY_TYPNAME","MOD_YEARNAME","AIR_BAGNAME","VIOLATIONNAME","DRIMPAIRNAME","DRDISTRACTNAME","STATENAME","COUNTYNAME","CITYNAME","MONTHNAME","YEAR","DAY_WEEKNAME","HOURNAME","ROUTENAME","RUR_URBNAME","RD_OWNERNAME","LATITUDE","LONGITUDE","TYP_INTNAME","WEATHERNAME","FATALS","DRUNK_DR"
"63734",63734,370001,1,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Acura","Front Seat, Left Side","4-door sedan, hardtop","2007","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","ALAMANCE (1)","GRAHAM","January",2020,"Sunday","2:00am-2:59am","Interstate","Urban","State Highway Agency",36.06889,-79.34759,"Not an Intersection","Rain",1,0
"63735",63735,370002,1,1,"Whole Blood","Tested, No Drugs Found/Negative","Not a Fatality (not Applicable)","Toyota","Front Seat, Left Side","4-door sedan, hardtop","2010","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","ALAMANCE (1)","BURLINGTON","January",2020,"Friday","6:00am-6:59am","Local Street - Municipality","Urban","Not Reported",36.09561,-79.42921,"Not an Intersection","Rain",1,0
"63736",63736,370003,1,1,"Test Not Given","Test Not Given","Other Race","Infiniti","Front Seat, Left Side","4-door sedan, hardtop","2007","Deployed- Combination","None","None/Apparently Normal","Not Reported","North Carolina","ALAMANCE (1)","NOT APPLICABLE","January",2020,"Wednesday","1:00am-1:59am","Other","Rural","State Highway Agency",35.86857,-79.42807,"Not an Intersection","Clear",1,0
"63737",63737,370004,1,1,"Test Not Given","Test Not Given","White","Nissan/Datsun","Front Seat, Left Side","Light Pickup","1996","Not Deployed","None","Reported as Unknown if Impaired","Not Reported","North Carolina","ALEXANDER (3)","NOT APPLICABLE","January",2020,"Tuesday","12:00pm-12:59pm","U.S. Highway","Rural","State Highway Agency",35.92277,-81.2611,"T-Intersection","Clear",1,0
"63738",63738,370004,2,3,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Chevrolet","Front Seat, Right Side","Light Pickup","2005","Deployment- Unknown Location","None","None/Apparently Normal","Not Reported","North Carolina","ALEXANDER (3)","NOT APPLICABLE","January",2020,"Tuesday","12:00pm-12:59pm","U.S. Highway","Rural","State Highway Agency",35.92277,-81.2611,"T-Intersection","Clear",1,0
"63739",63739,370004,2,2,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Chevrolet","Second Seat, Left Side","Light Pickup","2005","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","ALEXANDER (3)","NOT APPLICABLE","January",2020,"Tuesday","12:00pm-12:59pm","U.S. Highway","Rural","State Highway Agency",35.92277,-81.2611,"T-Intersection","Clear",1,0
"63740",63740,370004,2,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Chevrolet","Front Seat, Left Side","Light Pickup","2005","Deployment- Unknown Location","None","None/Apparently Normal","Not Reported","North Carolina","ALEXANDER (3)","NOT APPLICABLE","January",2020,"Tuesday","12:00pm-12:59pm","U.S. Highway","Rural","State Highway Agency",35.92277,-81.2611,"T-Intersection","Clear",1,0
"63741",63741,370005,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","Ford","Front Seat, Left Side","Medium/heavy Pickup (GVWR greater than 10,000 lbs.)","2018","Deployed- Combination","None","None/Apparently Normal","Not Reported","North Carolina","ANSON (7)","NOT APPLICABLE","January",2020,"Friday","11:00am-11:59am","Other","Rural","State Highway Agency",34.87936,-80.15905,"Not an Intersection","Cloudy",1,0
"63742",63742,370006,1,1,"Test Not Given","Test Not Given","White","Toyota","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2014","Deployed- Combination","None","None/Apparently Normal","Not Reported","North Carolina","BEAUFORT (13)","NOT APPLICABLE","January",2020,"Thursday","7:00am-7:59am","Other","Rural","State Highway Agency",35.49753,-77.06007,"Four-Way Intersection","Cloudy",1,0
"63743",63743,370006,2,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Mercury","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2003","Deployment- Unknown Location","None","None/Apparently Normal","Not Reported","North Carolina","BEAUFORT (13)","NOT APPLICABLE","January",2020,"Thursday","7:00am-7:59am","Other","Rural","State Highway Agency",35.49753,-77.06007,"Four-Way Intersection","Cloudy",1,0
"63744",63744,370007,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Black or African American","Buick / Opel","Front Seat, Left Side","4-door sedan, hardtop","2000","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","BLADEN (17)","NOT APPLICABLE","January",2020,"Wednesday","7:00am-7:59am","Other","Rural","State Highway Agency",34.7103,-78.59149,"Not an Intersection","Clear",1,0
"63745",63745,370008,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","Jeep / Kaiser-Jeep / Willys- Jeep","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","1994","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","BRUNSWICK (19)","NOT APPLICABLE","January",2020,"Wednesday","4:00pm-4:59pm","Other","Rural","State Highway Agency",34.15109,-78.12981,"Not an Intersection","Clear",1,0
"63746",63746,370009,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","KIA","Front Seat, Left Side","4-door sedan, hardtop","2013","Deployed- Combination","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Thursday","7:00pm-7:59pm","U.S. Highway","Urban","State Highway Agency",35.71938,-82.59868,"Four-Way Intersection","Rain",1,0
"63747",63747,370009,2,1,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Chevrolet","Front Seat, Left Side","Light Pickup","2017","Deployed- Combination","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Thursday","7:00pm-7:59pm","U.S. Highway","Urban","State Highway Agency",35.71938,-82.59868,"Four-Way Intersection","Rain",1,0
"63748",63748,370009,2,2,"Test Not Given","Test Not Given","Not a Fatality (not Applicable)","Chevrolet","Front Seat, Right Side","Light Pickup","2017","Deployed- Combination","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","NOT APPLICABLE","January",2020,"Thursday","7:00pm-7:59pm","U.S. Highway","Urban","State Highway Agency",35.71938,-82.59868,"Four-Way Intersection","Rain",1,0
"63749",63749,370010,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Mazda","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2016","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","ASHEVILLE","January",2020,"Tuesday","5:00am-5:59am","U.S. Highway","Urban","State Highway Agency",35.51012,-82.52633,"Not an Intersection","Clear",1,0
"63750",63750,370011,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Chevrolet","Front Seat, Left Side","Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","2013","Deployed- Combination","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","ASHEVILLE","January",2020,"Tuesday","5:00pm-5:59pm","State Highway","Urban","State Highway Agency",35.59242,-82.60658,"T-Intersection","Clear",1,0
"63751",63751,370011,2,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Japanese","Toyota","Front Seat, Left Side","4-door sedan, hardtop","2002","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","ASHEVILLE","January",2020,"Tuesday","5:00pm-5:59pm","State Highway","Urban","State Highway Agency",35.59242,-82.60658,"T-Intersection","Clear",1,0
"63752",63752,370012,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Toyota","Front Seat, Left Side","4-door sedan, hardtop","2012","Not Deployed","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","ASHEVILLE","January",2020,"Friday","6:00am-6:59am","U.S. Highway","Urban","State Highway Agency",35.56026,-82.63679,"Not an Intersection","Clear",1,0
"63753",63753,370013,1,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","Not a Fatality (not Applicable)","Ford","Front Seat, Left Side","Light Pickup","2003","Not Deployed","Other driver license violations","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","ASHEVILLE","January",2020,"Monday","5:00pm-5:59pm","Local Street - Municipality","Urban","City or Municipal Highway Agency",35.59493,-82.57207,"Not an Intersection","Clear",1,0
"63754",63754,370013,2,1,"Reported as Unknown if Tested","Reported as Unknown if Tested for Drugs","White","Hyundai","Front Seat, Left Side","3-door/2-door hatchback","2007","Deployment- Unknown Location","None","None/Apparently Normal","Not Reported","North Carolina","BUNCOMBE (21)","ASHEVILLE","January",2020,"Monday","5:00pm-5:59pm","Local Street - Municipality","Urban","City or Municipal Highway Agency",35.59493,-82.57207,"Not an Intersection","Clear",1,0
